Número Mesa,País,Departamento,Provincia,Municipio,Localidad,Recinto,Inscritos,CC,FPV,MTS,UCS,MAS - IPSP,21F,PDC,MNR,PAN-BOL,Votos Válidos,Blancos,Nulos
1252,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón,239,36,0,3,1,103,1,11,1,1,157,3,3
1253,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón,238,8,0,0,0,100,7,42,0,0,150,3,2
1254,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón,188,18,0,3,0,84,0,12,0,3,120,2,6
1255,Argentina,Buenos Aires,Ituzaingó,Ituzaingó,Ituzaingó,Esc Primaria Nro 3 Jose Manuel Estrada,239,14,1,0,1,106,2,6,0,0,130,2,1
1256,Argentina,Buenos Aires,Ituzaingó,Ituzaingó,Ituzaingó,Esc Primaria Nro 3 Jose Manuel Estrada,237,12,1,5,1,107,0,4,1,2,133,0,3
1257,Argentina,Buenos Aires,Ituzaingó,Ituzaingó,Ituzaingó,Esc Primaria Nro 3 Jose Manuel Estrada,240,25,0,1,2,102,3,9,2,1,145,0,2
1258,Argentina,Buenos Aires,Ituzaingó,Ituzaingó,Ituzaingó,Esc Primaria Nro 3 Jose Manuel Estrada,239,16,0,5,0,102,3,8,0,1,135,3,3
1259,Argentina,Buenos Aires,Ituzaingó,Ituzaingó,Ituzaingó,Esc Primaria Nro 3 Jose Manuel Estrada,239,12,0,4,1,135,1,3,0,1,157,0,2
1260,Argentina,Buenos Aires,Ituzaingó,Ituzaingó,Ituzaingó,Esc Primaria Nro 3 Jose Manuel Estrada,238,12,0,4,1,118,0,8,0,1,144,1,2
1261,Argentina,Buenos Aires,Ituzaingó,Ituzaingó,Ituzaingó,Esc Primaria Nro 3 Jose Manuel Estrada,237,14,0,4,0,101,1,5,0,2,127,0,4
1262,Argentina,Buenos Aires,Ituzaingó,Ituzaingó,Ituzaingó,Esc Primaria Nro 3 Jose Manuel Estrada,239,15,0,3,1,118,0,5,1,1,144,1,4
1263,Argentina,Buenos Aires,Ituzaingó,Ituzaingó,Ituzaingó,Esc Primaria Nro 3 Jose Manuel Estrada,158,8,0,1,0,87,0,4,0,1,101,1,0
1264,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,238,9,0,0,0,144,1,8,0,0,162,1,7
1265,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,238,13,0,1,0,137,2,11,0,1,165,0,4
1266,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,236,7,0,0,0,124,2,7,0,0,140,5,4
1267,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,239,7,1,1,1,145,1,10,0,1,167,1,3
1268,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,238,7,0,0,0,152,0,8,0,1,168,2,4
1269,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,238,21,0,2,1,127,1,11,0,0,163,0,0
1270,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,239,10,1,3,2,135,2,7,0,2,162,0,7
1271,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,239,13,0,0,0,135,0,13,0,1,162,2,4
1272,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,240,16,1,5,1,133,2,8,0,0,166,0,2
1273,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,238,8,1,0,0,154,3,12,0,0,178,1,3
1274,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,237,4,1,0,0,155,1,8,0,1,170,2,1
1275,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,238,9,0,2,0,137,1,10,0,2,161,0,10
1276,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,236,16,0,1,0,150,4,8,0,1,180,0,1
1277,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,237,9,0,1,0,138,0,8,0,0,156,3,3
1278,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,237,10,1,1,0,155,3,6,1,1,178,1,3
1279,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,239,14,0,1,0,142,2,12,0,0,171,0,3
1280,Argentina,Buenos Aires,La Matanza,La Matanza,Villa Celina,Escuela Secundaria Nº10,237,16,0,1,1,131,0,10,1,3,163,0,2
